studid;classid;schoolid;delta;delta_now;beta;dictator;dictator_schoolmate;risk;publicgood;trust;trust_return;comp;pca_socpref_interact;pca_timepref;pca_socpref_nointeract;pca_riskpref;math;read;age;kmeans_cluster;hierarchical_cluster;gpa_i;female;pared_d3
199;27;5;0,46511629;0,46511629;1;50;50;11;100;100;50;1;2,063391395;-2,143742067;0,686185348;-0,53768148;-0,65631855;-2,2402112;228;3;2;4;male;1
201;52;9;0,62111801;0,63291138;1,0189873;50;12,5;20;90;50;42,763226;0;0,872442948;-1,422272502;-0,118371752;-0,846280259;-1,1592132;0,2587029;222;3;1;4,5999999;female;1
202;26;5;0,89285713;0,89285713;1;50;25;50;50;50;50;1;-0,233243844;1,133553207;0,071418361;1,023922606;-0,59319246;-0,097163409;196;1;2;4,3000002;female;1
203;1;1;0,97087377;0,97087377;1;50;50;70;100;50;33,333336;1;0,697527751;1,411452255;0,386168041;2,276469624;0,609532;-0,4488107;207;5;3;3,8;male;0
204;25;4;0,75757575;0,81967211;1,0819672;15;10;15;30;20;79,21032;0;0,607374809;1,525166939;-2,544365013;-2,116325186;-1,58409;-1,6757703;186;4;1;3,5;male;0
205;41;7;0,89285713;0,97087377;1,0873786;50;25;13;50;60;39,846561;1;0,397573202;1,568575603;0,377197394;-0,571625293;-0,20210183;0,44923279;198;1;2;4,5255127;female;0
206;24;4;0,75757575;0,91743118;1,2110091;50;5;20;50;40;32,224869;0;0,144011893;0,490629278;-0,526169722;-0,715612937;-1,2115588;-0,46146587;196;1;3;3,7;female;1
207;23;4;0,52910054;0,5780347;1,0924855;50;50;12;50;60;46,038361;0;1,123155545;-0,592454088;0,964997537;-1,0109786;-0,91048843;-0,40018237;196;2;2;4,5255127;female;0
208;22;4;0,56497175;0,80000001;1,416;50;25;9;50;50;28,912699;0;-0,488711927;-0,208903394;0,28706685;-0,733172687;-1,2393429;-2,3422718;216;1;1;4,1999998;female;0
209;8;2;0,86206895;0,91743118;1,0642202;25;0;50;100;100;21,298943;0;0,525802052;0,182276817;-0,494791197;0,428107843;2,9033983;1,940894;200;5;3;4,8000002;male;1
210;12;2;0,94339621;0,94339621;1;0;25;50;100;100;29,517197;0;0,656649855;0,675484894;-0,846110021;1,065247897;2,9033983;1,940894;188;5;3;4,8000002;male;1
212;25;4;0,86206895;0,55248618;0,64088398;50;25;42;0;50;50;1;-1,017725843;0,274904847;0,600306107;1,017273467;-0,54495943;-0,056385662;191;1;3;4,5255127;female;0
213;53;9;0,75757575;0,94339621;1,245283;50;28;59;48;50;40,098148;0;-0,629739559;0,547040118;0,543412068;2,056619602;-0,52684373;0,31248704;182;5;3;4,8000002;female;1
214;52;9;0,60606062;0,5076142;0,83756346;25;20;40;80;50;41,19709;0;0,658932964;-2,00889472;-0,501306216;0,200997755;-0,10663472;0,43423408;223;3;2;4,9000001;female;0
215;10;2;0,91743118;0,91743118;1;50;50;45;75;50;25,183863;1;-0,472951754;0,812077973;0,703264012;0,162447404;1,3946034;1,059021;203;1;2;4,8000002;female;1
217;31;6;0,51813471;0,89285713;1,7232143;25;20;54;80;20;23,366402;1;-0,659314611;-0,697201948;-1,023059839;0,117324633;-0,12852877;0,12254334;211;4;1;4,8000002;female;1
218;20;3;0,89285713;0,94339621;1,0566038;50;25;30;50;50;50;0;-0,041765715;1,936516365;-0,205381253;0,202099003;-0,95494366;-0,63840318;186;1;2;4,5255127;female;0
219;37;6;0,62111801;0,75757575;1,219697;50;10;24;50;40;39,846561;0;0,113128675;-0,28190577;-0,304515203;-0,571489552;0,60119671;-0,094819866;199;1;1;4,8000002;female;1
221;15;3;0,71942449;0,71942449;0,99999994;50;0;27;56,299999;70;25,058201;1;-0,11537762;-0,304669077;-0,611250184;0,119070534;-0,27800813;0,76127476;204;3;3;5;female;0
222;46;8;0,7352941;0,7352941;1;25;25;21;10;40;19,645504;1;-1,548895056;0,16605878;0,245101022;-0,47245734;-0,34124503;0,61410052;200;1;1;5;female;1
223;46;8;0,7352941;0,7352941;1;25;50;45;80;60;47,076721;0;0,905698258;0,046144164;0,444126923;0,444547851;1,4615079;1,4383229;219;2;2;5;female;1
224;28;5;0,52910054;0,60606062;1,1454545;50;25;25;40;40;33,333336;0;-0,862057909;-0,819766837;0,41319002;-0,729018894;-0,5925259;-0,66933805;221;3;5;4,6999998;female;1
225;42;7;0,52910054;0,33333334;0,63;50;50;4;50;40;66,666672;1;0,064008724;-1,794379606;0,918324398;-1,820112123;-0,85969877;-0,89209139;193;3;2;4,0999999;female;0
226;5;2;0,63291138;0,5780347;0,91329479;50;25;25;60;60;50;1;0,27677255;-0,742448906;0,421718075;-0,806935145;0,80791092;1,4185195;201;3;3;4,5255127;male;0
227;11;2;0,51813471;0,80000001;1,544;50;25;10;80;50;37,294975;0;0,415442335;-0,570013707;-0,385339834;-1,39191621;0,80791092;1,4185195;189;3;1;4,5255127;male;0
228;35;6;0,75757575;0,89285713;1,1785715;25;25;20;80;50;40,253971;1;1,268567991;-0,122148391;-0,897961594;-1,26798474;-0,3319096;-0,53528768;224;2;1;4,3000002;female;0
229;26;5;0,63291138;0,89285713;1,4107143;25;50;20;40;30;41,974865;0;-0,822970247;0,165581297;-0,662669472;-0,684823577;-0,36124957;-0,36655277;211;4;1;4,1999998;male;0
230;35;6;0,97087377;0,51813471;0,53367877;50;0;27;50;50;47,187832;0;0,475508471;-0,380858068;-0,44988828;-0,423457258;-0,13797559;1,4697257;220;3;1;4,5255127;male;1
231;7;2;0,97087377;0,94339621;0,97169811;40;20;40;70;70;47,160053;1;0,293094964;1,189606491;0,435340571;-0,409192916;1,7542424;0,62968481;198;1;3;5;male;1
232;21;3;0,81967211;0,84033614;1,0252101;50;50;42;85;70;50;1;1,532015448;0,630330697;1,123236092;0,937678344;2,220907;1,1540517;183;2;2;5;male;1
233;27;5;0,68493152;0,69930071;1,020979;50;50;13;100;40;25,236774;1;0,220656596;-0,594372102;0,564653521;-0,507444338;-0,6985507;-1,1842132;227;3;2;4,5999999;female;1
234;48;8;0,86206895;0,89285713;1,0357143;50;0;50;100;100;33,128307;1;0,558662908;0,953157057;-0,5166011;1,143772472;0,81346798;1,0646455;203;5;3;5;female;1
235;12;2;0,97087377;0,97087377;1;25;7,5;30;100;100;19,28307;1;0,563419827;0,923749344;-0,651283164;-0,351829123;1,9836292;1,8350831;182;1;3;5;male;1
236;9;2;0,97087377;0,33333334;0,34333333;50;25;50;0;100;32,149471;1;-0,685873505;-0,765627405;0,905117701;1,595008243;0,88259548;0,97570819;200;3;3;4,9000001;male;1
237;10;2;0,97087377;0,97087377;1;50;50;50;100;100;48,687832;0;1,375806209;1,209215275;0,585683782;0,347144778;1,1961125;1,8967185;195;2;2;4,5999999;female;1
238;25;4;0,75757575;0,75757575;1;50;50;29;50;40;43,767197;1;-0,46603341;1,044001196;1,245542753;-0,119469344;-0,85314214;-0,90509778;187;1;2;4,1999998;female;0
239;19;3;0,69930071;0,75757575;1,0833334;50;25;25;50;50;47,867725;0;0,4383476;0,080314363;0,165838664;-0,067316736;-0,2217728;-1,5783962;185;1;1;4,5255127;male;0
240;16;3;0,75757575;0,89285713;1,1785715;100;50;10;35;40;39,897488;1;-0,874982647;0,505417983;2,561325769;-1,184535277;-0,37536409;0,37377051;200;1;2;4,8000002;male;1
241;13;2;0,97087377;0,97087377;1;37,5;25;25;20;40;84,563492;1;-0,710097542;0,975142487;0,584242801;-1,7097568;1,7246802;1,4425406;178;1;3;5;male;1
242;27;5;0,7352941;0,7352941;1;0;0;50;60;40;19,230158;1;-0,403518716;-0,220596488;-3,033955495;1,15382641;0,29957056;1,9670243;225;4;1;4,5255127;female;0
243;6;2;0,77519381;0,81967211;1,057377;48,450001;0;30;10;0;3,3333335;1;-2,242724949;0,301802662;-0,094647656;-0,240819067;1,6342144;0,78763938;206;4;1;4,5255127;male;0
244;50;9;0,63291138;0,51813471;0,81865287;50;25;15;50;40;11,507936;0;-1,378680182;-2,474630932;0,750402638;-0,544090116;0,12619688;0,72811323;205;3;5;4,8000002;female;1
246;16;3;0,5780347;0,69930071;1,2097902;0,050000001;0;20;50;10;1,5291007;0;-1,515914235;-0,991830651;-2,276509328;-0,383452536;-0,82424653;-0,32015049;194;4;1;4,9000001;female;1
247;6;2;0,91743118;0,89285713;0,97321433;50;50;33;60;80;50;0;0,582477785;0,986957786;1,142543482;-0,184683035;1,8241478;0,88407606;205;2;2;4,8000002;male;1
248;31;6;0,97087377;0,97087377;1;10;10;24;85;80;38,309525;0;1,250365529;1,187366264;-1,902634283;-0,796662975;0,68299305;0,4822762;214;5;1;4,5255127;female;1
249;37;6;0,56497175;0,49504951;0,87623763;50;45;47;70;50;46,187828;0;1,092203921;-1,596630511;0,637216227;0,902807002;-0,48238909;-0,33667284;201;3;4;4,6999998;female;1
250;17;3;0,60606062;0,59171599;0,97633135;50;12,5;50;50;10;33,333336;1;-1,246092844;-1,478002733;0,430851283;0,375618663;-0,016503109;0,61480355;195;3;5;4,5255127;male;0
251;48;8;0,75757575;0,71942449;0,94964027;50;25;39;100;70;52,095242;1;0,912600288;-0,093568863;0,122630543;-0,124532705;0,68554908;-0,30937082;210;2;3;5;male;1
252;35;6;0,89285713;0,89285713;1;35;25;35;60;70;42,420635;0;0,906302969;0,617285448;-0,1238731;0,124993572;0,29834822;0,42954698;227;5;2;4,5999999;female;1
